cm,kW/m,kW/m,cm,K,K,K,K,K,K,K,K,K,K,K,K,cm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
z,RHRRPUL,RHRRPUL_rms,r,T_1p0D,T_1p5D,T_2p0D,T_2p5D,T_3p0D,T_3p5D,T_rms_1p0D,T_rms_1p5D,T_rms_2p0D,T_rms_2p5D,T_rms_3p0D,T_rms_3p5D,x,soot_0p5D,soot_1p0D,soot_1p5D,soot_2p5D,soot_3p5D,soot_rms_0p5D,soot_rms_1p0D,soot_rms_1p5D,soot_rms_2p5D,soot_rms_3p5D
 5.0000000E-001, 1.2833005E+001, 9.9114996E-001,-5.0000000E-001, 1.2980787E+003, 1.3846695E+003, 1.3988557E+003, 1.2190034E+003, 9.8389018E+002, 7.9374331E+002, 9.1657474E+001, 7.4823716E+001, 1.3525552E+002, 2.6972962E+002, 2.7653836E+002, 2.3384566E+002,-2.0500000E+001, 7.5461456E-009, 2.3011449E-008, 4.9371712E-008, 8.0375025E-007, 1.7055141E-005, 6.2791207E-009, 2.3752262E-008, 6.3446494E-008, 6.3585153E-007, 2.6984007E-005
 4.6000000E+000, 1.3234279E+001, 2.1108866E+000, 1.5000000E+000, 1.3079783E+003, 1.3881963E+003, 1.3999496E+003, 1.2277439E+003, 1.0044750E+003, 8.1407339E+002, 9.3394300E+001, 8.3612841E+001, 1.4539859E+002, 2.6880398E+002, 2.8928188E+002, 2.4447890E+002,-1.8450000E+001, 8.0635559E-007, 1.3944338E-006, 3.2787680E-006, 4.9765576E-005, 6.0606426E-004, 6.3752488E-007, 1.5423986E-006, 5.4709235E-006, 4.8355347E-005, 9.2167649E-004
 8.7000000E+000, 1.1552956E+001, 2.8576606E+000, 3.5000000E+000, 1.3110204E+003, 1.1379565E+003, 1.0205874E+003, 8.9902799E+002, 7.9261050E+002, 6.9366161E+002, 2.3700610E+002, 2.9005229E+002, 2.9511254E+002, 2.9897064E+002, 2.6789001E+002, 2.2025513E+002,-1.6400000E+001, 8.0635559E-007, 1.3944338E-006, 3.2787680E-006, 4.9765576E-005, 6.0606426E-004, 6.3752488E-007, 1.5423986E-006, 5.4709235E-006, 4.8355347E-005, 9.2167649E-004
 1.2800000E+001, 9.3335190E+000, 2.8708556E+000, 5.5000000E+000, 6.5527247E+002, 6.1485204E+002, 6.1416448E+002, 6.1463176E+002, 5.9073907E+002, 5.6128559E+002, 2.0199812E+002, 2.0458653E+002, 2.0761758E+002, 2.1050798E+002, 1.9051397E+002, 1.7159309E+002,-1.4350000E+001, 5.3131168E-005, 6.1021439E-005, 1.7066578E-004, 1.4256695E-003, 6.6110486E-003, 3.7164723E-005, 7.8808273E-005, 4.0532605E-004, 1.7286648E-003, 8.4381453E-003
 1.6900000E+001, 8.1191562E+000, 2.6283979E+000, 7.5000000E+000, 3.9318060E+002, 4.1194755E+002, 4.2949627E+002, 4.5349794E+002, 4.6131459E+002, 4.5456542E+002, 7.7333695E+001, 1.0833186E+002, 1.1844442E+002, 1.3648883E+002, 1.2972211E+002, 1.1733005E+002,-1.2300000E+001, 5.3131168E-005, 6.1021439E-005, 1.7066578E-004, 1.4256695E-003, 6.6110486E-003, 3.7164723E-005, 7.8808273E-005, 4.0532605E-004, 1.7286648E-003, 8.4381453E-003
 2.1000000E+001, 7.5953916E+000, 2.6618571E+000, 9.5000000E+000, 3.1470671E+002, 3.3024983E+002, 3.4442810E+002, 3.6893469E+002, 3.7928325E+002, 3.8205626E+002, 2.0263643E+001, 5.0494463E+001, 7.1682148E+001, 8.8059176E+001, 9.1089958E+001, 8.0370697E+001,-1.0250000E+001, 1.2789259E-003, 9.1937220E-004, 2.9896548E-003, 1.1452817E-002, 2.2440974E-002, 1.1757560E-003, 1.1331214E-003, 6.1125911E-003, 1.5588869E-002, 2.3966272E-002
 2.5100000E+001, 6.8439081E+000, 3.2140322E+000, 1.1500000E+001, 2.9676449E+002, 3.0067327E+002, 3.0764243E+002, 3.1862300E+002, 3.2651183E+002, 3.3258427E+002, 2.6793934E+000, 1.3407275E+001, 3.7121682E+001, 4.9930867E+001, 5.3186429E+001, 5.1006367E+001,-8.2000000E+000, 1.4661691E-002, 1.0359265E-002, 1.7519152E-002, 3.5720439E-002, 4.6616965E-002, 1.2668349E-002, 1.0542228E-002, 1.9599144E-002, 3.1941351E-002, 3.7210444E-002
 2.9200000E+001, 5.9864903E+000, 3.6493620E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.1500000E+000, 6.3935266E-002, 5.3345293E-002, 6.0442104E-002, 7.4390602E-002, 7.6113173E-002, 2.4752383E-002, 3.2571508E-002, 4.1661534E-002, 4.9319716E-002, 4.4865275E-002
 3.3300000E+001, 4.8646116E+000, 3.8185572E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.1000000E+000, 2.3997571E-001, 1.7777568E-001, 1.5502249E-001, 1.3537646E-001, 1.1022486E-001, 5.2907456E-002, 8.1233680E-002, 8.0790613E-002, 7.7149208E-002, 5.2466980E-002
 3.7400000E+001, 3.6462151E+000, 3.5294086E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.0500000E+000, 1.3993437E+000, 6.2018582E-001, 4.4008282E-001, 2.5808004E-001, 1.4910295E-001, 4.2560583E-001, 4.0084830E-001, 2.4642966E-001, 1.3525836E-001, 5.7885936E-002
 4.1500000E+001, 2.5414328E+000, 2.8822736E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.0000000E-002, 2.2609025E+000, 2.0399864E+000, 1.7845056E+000, 5.1450760E-001, 1.8314193E-001, 1.2709491E-001, 1.9964878E-001, 4.0461329E-001, 3.3608843E-001, 6.5822102E-002
 4.5600000E+001, 1.3474951E+000, 1.6768078E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.0500000E+000, 1.3453727E+000, 5.9871131E-001, 4.1847793E-001, 2.6295288E-001, 1.5390594E-001, 4.6359439E-001, 4.1425957E-001, 2.2653496E-001, 1.4179545E-001, 6.3615792E-002
 4.9700000E+001, 8.8439384E-001, 1.1441776E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 4.1000000E+000, 2.3620300E-001, 1.7085641E-001, 1.4584986E-001, 1.3909742E-001, 1.1433035E-001, 6.1369519E-002, 8.6975117E-002, 7.2352263E-002, 7.3509126E-002, 5.2818685E-002
 5.3800000E+001, 6.0886538E-001, 8.3465929E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 6.1500000E+000, 6.6049297E-002, 5.5636712E-002, 6.1071442E-002, 7.6966104E-002, 7.8135497E-002, 3.1836887E-002, 3.5737837E-002, 4.2265972E-002, 4.8291705E-002, 4.2818043E-002
 5.7900000E+001, 4.3480426E-001, 6.0210780E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 8.2000000E+000, 1.5201875E-002, 1.2922741E-002, 2.0894294E-002, 4.0640766E-002, 4.8653178E-002, 1.3562705E-002, 1.1835180E-002, 2.4439951E-002, 3.5352178E-002, 3.4714184E-002
 6.2000000E+001, 3.2017893E-001, 4.2018252E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.0250000E+001, 1.2600317E-003, 1.4600352E-003, 3.9626077E-003, 1.4838078E-002, 2.4210951E-002, 1.0657731E-003, 1.7473269E-003, 8.2716353E-003, 2.1741337E-002, 2.4175033E-002
 6.6100000E+001, 2.4362583E-001, 3.0224060E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.2300000E+001, 4.5608972E-005, 5.5342236E-005, 1.4258017E-004, 2.8132443E-003, 6.4668661E-003, 2.1436148E-005, 4.7175466E-005, 2.8633140E-004, 4.9703954E-003, 8.5777602E-003
 7.0200000E+001, 1.7236539E-001, 1.9849929E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.4350000E+001, 4.5608972E-005, 5.5342236E-005, 1.4258017E-004, 2.8132443E-003, 6.4668661E-003, 2.1436148E-005, 4.7175466E-005, 2.8633140E-004, 4.9703954E-003, 8.5777602E-003
 7.4300000E+001, 1.4097211E-001, 1.5590444E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.6400000E+001, 6.4110868E-007, 1.2222486E-006, 3.4302134E-006, 1.6311073E-004, 7.8703409E-004, 2.8888966E-007, 7.6260182E-007, 5.9165335E-006, 4.3996683E-004, 1.3671375E-003
 7.8400000E+001, 1.1823305E-001, 1.2486351E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.8450000E+001, 6.4110868E-007, 1.2222486E-006, 3.4302134E-006, 1.6311073E-004, 7.8703409E-004, 2.8888966E-007, 7.6260182E-007, 5.9165335E-006, 4.3996683E-004, 1.3671375E-003
 8.2500000E+001, 9.8974758E-002, 9.7717556E-002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.0500000E+001, 6.6146104E-009, 1.9036285E-008, 4.0007368E-008, 4.9188238E-006, 2.9328925E-005, 4.3967707E-009, 1.1450604E-008, 3.5937753E-008, 1.8834959E-005, 4.7313858E-005
