,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2021-10-23T15:27:03.570-06:00,   0.167E-01,   0.01668,   0.591E+00
      2,2021-10-23T15:27:04.172-06:00,   0.184E-01,   0.03503,   0.722E+00
      3,2021-10-23T15:27:05.240-06:00,   0.202E-01,   0.05522,   0.888E+00
      4,2021-10-23T15:27:05.609-06:00,   0.222E-01,   0.07743,   0.101E+01
      5,2021-10-23T15:27:05.930-06:00,   0.244E-01,   0.10185,   0.113E+01
      6,2021-10-23T15:27:06.648-06:00,   0.269E-01,   0.12872,   0.130E+01
      7,2021-10-23T15:27:06.988-06:00,   0.283E-01,   0.15697,   0.142E+01
      8,2021-10-23T15:27:07.343-06:00,   0.283E-01,   0.18523,   0.154E+01
      9,2021-10-23T15:27:08.039-06:00,   0.283E-01,   0.21348,   0.170E+01
     10,2021-10-23T15:27:08.402-06:00,   0.283E-01,   0.24173,   0.183E+01
     20,2021-10-23T15:27:13.078-06:00,   0.900E-02,   0.37094,   0.312E+01
     30,2021-10-23T15:27:17.382-06:00,   0.558E-02,   0.44226,   0.397E+01
     40,2021-10-23T15:27:21.075-06:00,   0.325E-02,   0.48450,   0.459E+01
     50,2021-10-23T15:27:24.481-06:00,   0.325E-02,   0.51701,   0.509E+01
     60,2021-10-23T15:27:28.442-06:00,   0.358E-02,   0.55051,   0.574E+01
     70,2021-10-23T15:27:32.151-06:00,   0.353E-02,   0.58873,   0.636E+01
     80,2021-10-23T15:27:35.850-06:00,   0.281E-02,   0.61953,   0.690E+01
     90,2021-10-23T15:27:40.008-06:00,   0.251E-02,   0.64610,   0.756E+01
    100,2021-10-23T15:27:43.695-06:00,   0.221E-02,   0.66817,   0.810E+01
    200,2021-10-23T15:28:24.116-06:00,   0.196E-02,   0.90190,   0.139E+02
    300,2021-10-23T15:29:05.453-06:00,   0.247E-02,   1.11534,   0.196E+02
    400,2021-10-23T15:29:45.875-06:00,   0.229E-02,   1.33940,   0.253E+02
    500,2021-10-23T15:30:26.165-06:00,   0.217E-02,   1.55097,   0.310E+02
    600,2021-10-23T15:31:07.362-06:00,   0.191E-02,   1.75822,   0.367E+02
    700,2021-10-23T15:31:47.263-06:00,   0.174E-02,   1.95509,   0.424E+02
    800,2021-10-23T15:32:27.088-06:00,   0.208E-02,   2.15189,   0.480E+02
    900,2021-10-23T15:33:08.410-06:00,   0.208E-02,   2.36017,   0.538E+02
   1000,2021-10-23T15:33:48.665-06:00,   0.202E-02,   2.58074,   0.596E+02
   1100,2021-10-23T15:34:29.007-06:00,   0.192E-02,   2.78689,   0.653E+02
   1200,2021-10-23T15:35:10.398-06:00,   0.188E-02,   2.99557,   0.711E+02
   1300,2021-10-23T15:35:50.735-06:00,   0.194E-02,   3.18661,   0.768E+02
   1400,2021-10-23T15:36:30.705-06:00,   0.206E-02,   3.39395,   0.824E+02
   1500,2021-10-23T15:37:12.009-06:00,   0.179E-02,   3.60130,   0.882E+02
   1600,2021-10-23T15:37:52.009-06:00,   0.213E-02,   3.81451,   0.938E+02
   1700,2021-10-23T15:38:32.222-06:00,   0.191E-02,   4.00995,   0.995E+02
   1800,2021-10-23T15:39:12.952-06:00,   0.226E-02,   4.19837,   0.105E+03
   1900,2021-10-23T15:39:52.782-06:00,   0.167E-02,   4.41230,   0.111E+03
   2000,2021-10-23T15:40:32.584-06:00,   0.202E-02,   4.60249,   0.116E+03
   2100,2021-10-23T15:41:12.979-06:00,   0.210E-02,   4.80245,   0.122E+03
   2200,2021-10-23T15:41:54.158-06:00,   0.195E-02,   5.00228,   0.128E+03
   2300,2021-10-23T15:42:35.085-06:00,   0.233E-02,   5.21092,   0.133E+03
   2400,2021-10-23T15:43:15.105-06:00,   0.221E-02,   5.41660,   0.139E+03
   2500,2021-10-23T15:43:54.889-06:00,   0.194E-02,   5.62171,   0.145E+03
   2600,2021-10-23T15:44:34.687-06:00,   0.199E-02,   5.82114,   0.150E+03
   2700,2021-10-23T15:45:14.646-06:00,   0.192E-02,   6.02587,   0.156E+03
   2800,2021-10-23T15:45:53.788-06:00,   0.211E-02,   6.22850,   0.161E+03
   2900,2021-10-23T15:46:33.190-06:00,   0.211E-02,   6.41917,   0.167E+03
   3000,2021-10-23T15:47:13.302-06:00,   0.204E-02,   6.60466,   0.172E+03
   3100,2021-10-23T15:47:52.187-06:00,   0.193E-02,   6.79943,   0.178E+03
   3200,2021-10-23T15:48:31.006-06:00,   0.183E-02,   6.99338,   0.183E+03
   3300,2021-10-23T15:49:11.082-06:00,   0.177E-02,   7.19228,   0.189E+03
   3400,2021-10-23T15:49:50.122-06:00,   0.202E-02,   7.39151,   0.194E+03
   3500,2021-10-23T15:50:29.483-06:00,   0.177E-02,   7.60274,   0.200E+03
   3600,2021-10-23T15:51:09.864-06:00,   0.208E-02,   7.81196,   0.206E+03
   3700,2021-10-23T15:51:49.215-06:00,   0.170E-02,   8.01887,   0.211E+03
   3800,2021-10-23T15:52:28.290-06:00,   0.201E-02,   8.22158,   0.217E+03
   3900,2021-10-23T15:53:08.273-06:00,   0.215E-02,   8.42700,   0.222E+03
   4000,2021-10-23T15:53:47.171-06:00,   0.213E-02,   8.62844,   0.228E+03
   4100,2021-10-23T15:54:26.149-06:00,   0.201E-02,   8.82537,   0.234E+03
   4200,2021-10-23T15:55:06.955-06:00,   0.195E-02,   9.02104,   0.239E+03
   4300,2021-10-23T15:55:46.246-06:00,   0.214E-02,   9.22566,   0.245E+03
   4400,2021-10-23T15:56:25.867-06:00,   0.162E-02,   9.42835,   0.250E+03
   4500,2021-10-23T15:57:06.625-06:00,   0.215E-02,   9.62678,   0.256E+03
   4600,2021-10-23T15:57:46.332-06:00,   0.188E-02,   9.82212,   0.261E+03
   4700,2021-10-23T15:58:27.150-06:00,   0.207E-02,  10.01911,   0.267E+03
   4800,2021-10-23T15:59:08.120-06:00,   0.225E-02,  10.23354,   0.273E+03
   4900,2021-10-23T15:59:47.997-06:00,   0.195E-02,  10.43682,   0.278E+03
   5000,2021-10-23T16:00:27.539-06:00,   0.210E-02,  10.63661,   0.284E+03
   5100,2021-10-23T16:01:09.022-06:00,   0.210E-02,  10.84617,   0.290E+03
   5200,2021-10-23T16:01:48.823-06:00,   0.206E-02,  11.05276,   0.295E+03
   5300,2021-10-23T16:02:28.339-06:00,   0.200E-02,  11.24934,   0.301E+03
   5400,2021-10-23T16:03:09.058-06:00,   0.220E-02,  11.45028,   0.307E+03
   5500,2021-10-23T16:03:48.915-06:00,   0.196E-02,  11.66806,   0.312E+03
   5600,2021-10-23T16:04:28.929-06:00,   0.225E-02,  11.87224,   0.318E+03
   5700,2021-10-23T16:05:09.901-06:00,   0.206E-02,  12.07380,   0.324E+03
   5800,2021-10-23T16:05:50.250-06:00,   0.193E-02,  12.26908,   0.329E+03
   5900,2021-10-23T16:06:30.258-06:00,   0.212E-02,  12.47362,   0.335E+03
   6000,2021-10-23T16:07:11.479-06:00,   0.194E-02,  12.67484,   0.341E+03
   6100,2021-10-23T16:07:51.038-06:00,   0.205E-02,  12.87428,   0.346E+03
   6200,2021-10-23T16:08:30.197-06:00,   0.202E-02,  13.06785,   0.352E+03
   6300,2021-10-23T16:09:11.230-06:00,   0.199E-02,  13.26563,   0.357E+03
   6400,2021-10-23T16:09:50.510-06:00,   0.216E-02,  13.45644,   0.363E+03
   6500,2021-10-23T16:10:29.709-06:00,   0.192E-02,  13.65352,   0.368E+03
   6600,2021-10-23T16:11:10.034-06:00,   0.189E-02,  13.85683,   0.374E+03
   6700,2021-10-23T16:11:49.148-06:00,   0.185E-02,  14.05344,   0.380E+03
   6800,2021-10-23T16:12:28.033-06:00,   0.201E-02,  14.25127,   0.385E+03
   6900,2021-10-23T16:13:08.514-06:00,   0.197E-02,  14.45531,   0.391E+03
   7000,2021-10-23T16:13:47.777-06:00,   0.212E-02,  14.67706,   0.396E+03
   7100,2021-10-23T16:14:26.848-06:00,   0.187E-02,  14.88317,   0.402E+03
   7200,2021-10-23T16:15:08.882-06:00,   0.194E-02,  15.07631,   0.407E+03
   7300,2021-10-23T16:15:48.197-06:00,   0.188E-02,  15.27872,   0.413E+03
   7400,2021-10-23T16:16:27.351-06:00,   0.201E-02,  15.46762,   0.419E+03
   7500,2021-10-23T16:17:07.584-06:00,   0.201E-02,  15.66851,   0.424E+03
   7600,2021-10-23T16:17:46.434-06:00,   0.211E-02,  15.86256,   0.430E+03
   7700,2021-10-23T16:18:25.447-06:00,   0.183E-02,  16.06194,   0.435E+03
   7800,2021-10-23T16:19:05.658-06:00,   0.192E-02,  16.25955,   0.441E+03
   7900,2021-10-23T16:19:44.279-06:00,   0.204E-02,  16.45789,   0.446E+03
   8000,2021-10-23T16:20:23.356-06:00,   0.215E-02,  16.66781,   0.452E+03
   8100,2021-10-23T16:21:03.750-06:00,   0.211E-02,  16.87127,   0.457E+03
   8200,2021-10-23T16:21:42.730-06:00,   0.187E-02,  17.07035,   0.463E+03
   8300,2021-10-23T16:22:21.691-06:00,   0.168E-02,  17.26812,   0.468E+03
   8400,2021-10-23T16:23:02.191-06:00,   0.200E-02,  17.47010,   0.474E+03
   8500,2021-10-23T16:23:40.985-06:00,   0.195E-02,  17.67515,   0.479E+03
   8600,2021-10-23T16:24:19.820-06:00,   0.189E-02,  17.86299,   0.485E+03
   8700,2021-10-23T16:25:00.069-06:00,   0.204E-02,  18.06455,   0.491E+03
   8800,2021-10-23T16:25:39.118-06:00,   0.188E-02,  18.26722,   0.496E+03
   8900,2021-10-23T16:26:17.860-06:00,   0.207E-02,  18.46871,   0.502E+03
   9000,2021-10-23T16:26:58.192-06:00,   0.181E-02,  18.66606,   0.507E+03
   9100,2021-10-23T16:27:37.182-06:00,   0.187E-02,  18.86838,   0.513E+03
   9200,2021-10-23T16:28:15.848-06:00,   0.221E-02,  19.06449,   0.518E+03
   9300,2021-10-23T16:28:56.170-06:00,   0.214E-02,  19.26672,   0.524E+03
   9400,2021-10-23T16:29:34.943-06:00,   0.179E-02,  19.46115,   0.529E+03
   9500,2021-10-23T16:30:13.653-06:00,   0.211E-02,  19.66322,   0.535E+03
   9600,2021-10-23T16:30:53.897-06:00,   0.169E-02,  19.85962,   0.540E+03
   9672,2021-10-23T16:31:21.950-06:00,   0.656E-03,  20.00000,   0.544E+03
